66047 & 09/11/2001 22:53:20 & 202.77.162.213 & 647 & 172.16.115.20 & 54791 & Admind
66048 & 09/11/2001 22:53:20 & 202.77.162.213 & 647 & 172.16.115.20 & 54791 & Sadmind_Ping
66182 & 09/11/2001 23:18:23 & 202.77.162.213 & 668 & 172.16.115.20 & 60250 & Admind
66183 & 09/11/2001 23:18:23 & 202.77.162.213 & 668 & 172.16.115.20 & 60250 & Sadmind_Amslverify_Overflow
66179 & 09/11/2001 23:18:26 & 202.77.162.213 & 669 & 172.16.115.20 & 60254 & Sadmind_Amslverify_Overflow
66184 & 09/11/2001 23:18:26 & 202.77.162.213 & 669 & 172.16.115.20 & 60254 & Admind
66180 & 09/11/2001 23:18:31 & 202.77.162.213 & 670 & 172.16.115.20 & 60268 & Admind
66181 & 09/11/2001 23:18:31 & 202.77.162.213 & 670 & 172.16.115.20 & 60268 & Sadmind_Amslverify_Overflow
66177 & 09/11/2001 23:18:34 & 202.77.162.213 & 671 & 172.16.115.20 & 60275 & Admind
66178 & 09/11/2001 23:18:34 & 202.77.162.213 & 671 & 172.16.115.20 & 60275 & Sadmind_Amslverify_Overflow
66203 & 09/11/2001 23:18:40 & 202.77.162.213 & 672 & 172.16.115.20 & 60288 & Admind
66204 & 09/11/2001 23:18:40 & 202.77.162.213 & 672 & 172.16.115.20 & 60288 & Sadmind_Amslverify_Overflow
66200 & 09/11/2001 23:18:42 & 202.77.162.213 & 673 & 172.16.115.20 & 60299 & Sadmind_Amslverify_Overflow
66205 & 09/11/2001 23:18:42 & 202.77.162.213 & 673 & 172.16.115.20 & 60299 & Admind
66286 & 09/11/2001 23:28:25 & 197.182.091.233 & 13449 & 172.16.115.20 & 23 & TelnetTerminaltype
66336 & 09/11/2001 23:35:15 & 172.16.115.20 & 1023 & 202.77.162.213 & 514 & Rsh
66341 & 09/11/2001 23:35:15 & 172.16.115.20 & 1023 & 202.77.162.213 & 514 & Rsh
66333 & 09/11/2001 23:35:16 & 172.16.115.20 & 1023 & 202.77.162.213 & 514 & Rsh
66338 & 09/11/2001 23:35:16 & 172.16.115.20 & 1023 & 202.77.162.213 & 514 & Rsh
66335 & 09/11/2001 23:35:17 & 172.16.115.20 & 1023 & 202.77.162.213 & 514 & Rsh
66331 & 09/11/2001 23:35:18 & 172.16.115.20 & 1023 & 202.77.162.213 & 514 & Rsh
66332 & 09/11/2001 23:35:20 & 202.77.162.213 & 1023 & 172.16.115.20 & 514 & Rsh
66351 & 09/11/2001 23:35:34 & 202.77.162.213 & 1021 & 172.16.115.20 & 514 & Rsh
66510 & 10/11/2001 00:06:07 & 195.073.151.050 & 19569 & 172.16.115.20 & 23 & TelnetTerminaltype
66534 & 10/11/2001 00:11:28 & 202.77.162.213 & 1566 & 172.16.115.20 & 23 & TelnetXdisplay
66535 & 10/11/2001 00:11:28 & 202.77.162.213 & 1566 & 172.16.115.20 & 23 & TelnetEnvAll
66538 & 10/11/2001 00:11:28 & 202.77.162.213 & 1566 & 172.16.115.20 & 23 & TelnetTerminaltype
