66047,2001-11-09 22:53:20,*Attacker*,*Mill*,Admind,647,54791,
66048,2001-11-09 22:53:20,*Attacker*,*Mill*,Sadmind_Ping,647,54791,
66061,2001-11-09 22:56:20,*Attacker*,*Plato*,Sadmind_Ping,651,32779,
66066,2001-11-09 22:56:20,*Attacker*,*Plato*,Admind,651,32779,
66058,2001-11-09 22:56:21,*Attacker*,*Solomon*,Admind,653,32772,
66059,2001-11-09 22:56:21,*Attacker*,*Solomon*,Sadmind_Ping,653,32772,
66062,2001-11-09 22:56:21,*Attacker*,*Smith*,Admind,652,32773,
66063,2001-11-09 22:56:21,*Attacker*,*Smith*,Sadmind_Ping,652,32773,
66114,2001-11-09 23:00:22,*Attacker*,*Locke*,Admind,660,56255,
66115,2001-11-09 23:00:22,*Attacker*,*Locke*,Sadmind_Ping,660,56255,
66110,2001-11-09 23:00:23,*Attacker*,*Pascal*,Admind,661,56261,
66111,2001-11-09 23:00:23,*Attacker*,*Pascal*,Sadmind_Ping,661,56261,
66182,2001-11-09 23:18:23,*Attacker*,*Mill*,Admind,668,60250,
66183,2001-11-09 23:18:23,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,668,60250,
66179,2001-11-09 23:18:26,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,669,60254,
66184,2001-11-09 23:18:26,*Attacker*,*Mill*,Admind,669,60254,
66180,2001-11-09 23:18:31,*Attacker*,*Mill*,Admind,670,60268,
66181,2001-11-09 23:18:31,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,670,60268,
66177,2001-11-09 23:18:34,*Attacker*,*Mill*,Admind,671,60275,
66178,2001-11-09 23:18:34,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,671,60275,
66203,2001-11-09 23:18:40,*Attacker*,*Mill*,Admind,672,60288,
66204,2001-11-09 23:18:40,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,672,60288,
66200,2001-11-09 23:18:42,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,673,60299,
66205,2001-11-09 23:18:42,*Attacker*,*Mill*,Admind,673,60299,
66197,2001-11-09 23:18:45,*Attacker*,*Plato*,Sadmind_Amslverify_Overflow,674,32779,
66198,2001-11-09 23:18:45,*Attacker*,*Plato*,Admind,675,32779,
66199,2001-11-09 23:18:45,*Attacker*,*Plato*,Sadmind_Amslverify_Overflow,675,32779,
66202,2001-11-09 23:18:45,*Attacker*,*Plato*,Admind,674,32779,
66191,2001-11-09 23:18:49,*Attacker*,*Plato*,Sadmind_Amslverify_Overflow,677,32779,
66194,2001-11-09 23:18:49,*Attacker*,*Plato*,Admind,676,32779,
