65884,1005343578.0,,,172.016.113.204,194.027.251.021,Email_Ehlo,,,43712,25,,
65885,1005343612.0,,,172.016.113.204,197.218.177.069,FTP_User,,,43724,21,,
65888,1005343627.0,,,172.016.113.204,197.218.177.069,FTP_Pass,,,43724,21,,
65889,1005343627.0,,,172.016.113.204,197.218.177.069,FTP_Syst,,,43724,21,,
65890,1005343632.0,,,194.007.248.153,172.016.112.100,Email_Ehlo,,,4115,25,,
65886,1005343635.0,,,194.027.251.021,172.016.112.194,Email_Ehlo,,,4116,25,,
65887,1005343637.0,,,197.218.177.069,172.016.113.084,Email_Ehlo,,,4117,25,,
65891,1005343663.0,,,172.016.112.207,197.218.177.069,Email_Ehlo,,,43743,25,,
65892,1005343664.0,,,197.218.177.069,172.016.113.084,Email_Ehlo,,,4118,25,,
65893,1005343721.0,,,194.027.251.021,172.016.113.084,Email_Ehlo,,,4126,25,,
65894,1005343722.0,,,194.027.251.021,172.016.112.207,Email_Ehlo,,,4127,25,,
65895,1005343741.0,,,195.115.218.108,172.016.113.084,Email_Ehlo,,,4129,25,,
65896,1005343776.0,,,194.027.251.021,172.016.113.207,Email_Ehlo,,,4152,25,,
65897,1005343779.0,,,195.115.218.108,172.016.113.050,TelnetTerminaltype,,,4154,23,,
65898,1005343795.0,,,135.008.060.182,172.016.112.100,Email_Ehlo,,,4155,25,,
65901,1005343806.0,,,172.016.113.207,194.027.251.021,Email_Ehlo,,,43889,25,,
65902,1005343807.0,,,172.016.113.207,135.013.216.191,Email_Ehlo,,,43890,25,,
65903,1005343808.0,,,172.016.113.207,197.182.091.233,Email_Ehlo,,,43891,25,,
65899,1005343809.0,,,172.016.113.207,197.218.177.069,Email_Ehlo,,,43892,25,,
65900,1005343824.0,,,172.016.112.149,196.227.033.189,Email_Ehlo,,,43894,25,,
65904,1005343837.0,,,194.027.251.021,172.016.112.100,Email_Ehlo,,,4157,25,,
65905,1005343918.0,,,172.016.113.207,194.027.251.021,Email_Ehlo,,,43956,25,,
65906,1005343947.0,,,197.182.091.233,172.016.113.207,Email_Ehlo,,,4170,25,,
65907,1005343951.0,,,197.218.177.069,172.016.113.207,Email_Ehlo,,,4185,25,,
65908,1005343954.0,,,135.013.216.191,172.016.113.207,Email_Ehlo,,,4187,25,,
