67285,1005363983.0,*Attacker*,*Mill*,Admind,54792,32773,
67286,1005363983.0,*Attacker*,*Mill*,Sadmind_Ping,54792,32773,

67341,1005364406.0,*Attacker*,*Locke*,Sadmind_Ping,56256,32774,
67342,1005364406.0,*Attacker*,*Pascal*,Admind,56262,32773,
67343,1005364406.0,*Attacker*,*Pascal*,Sadmind_Ping,56262,32773,
67346,1005364406.0,*Attacker*,*Locke*,Admind,56256,32774,

67415,1005365487.0,*Attacker*,*Mill*,Admind,60251,32773,
67416,1005365487.0,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,60251,32773,
67425,1005365489.0,*Attacker*,*Mill*,Admind,60255,32773,
67426,1005365489.0,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,60255,32773,
67422,1005365495.0,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,60269,32773,
67427,1005365495.0,*Attacker*,*Mill*,Admind,60269,32773,
67423,1005365497.0,*Attacker*,*Mill*,Admind,60276,32773,
67424,1005365497.0,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,60276,32773,
67419,1005365503.0,*Attacker*,*Mill*,Admind,60289,32773,
67420,1005365503.0,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,60289,32773,
67417,1005365505.0,*Attacker*,*Mill*,Sadmind_Amslverify_Overflow,60300,32773,
67421,1005365505.0,*Attacker*,*Mill*,Admind,60300,32773,

67429,1005365572.0,*Attacker*,*Locke*,Admind,60519,32774,
67430,1005365572.0,*Attacker*,*Locke*,Sadmind_Amslverify_Overflow,60519,32774,
67428,1005365574.0,*Attacker*,*Locke*,Sadmind_Amslverify_Overflow,60524,32774,
67431,1005365574.0,*Attacker*,*Locke*,Admind,60524,32774,
67441,1005365581.0,*Attacker*,*Locke*,Admind,60542,32774,
67442,1005365581.0,*Attacker*,*Locke*,Sadmind_Amslverify_Overflow,60542,32774,
67438,1005365583.0,*Attacker*,*Locke*,Sadmind_Amslverify_Overflow,60549,32774,
67443,1005365583.0,*Attacker*,*Locke*,Admind,60549,32774,

67439,1005365585.0,*Attacker*,*Pascal*,Admind,60569,32773,
67440,1005365585.0,*Attacker*,*Pascal*,Sadmind_Amslverify_Overflow,60569,32773,
67435,1005365587.0,*Attacker*,*Pascal*,Admind,60578,32773,
67436,1005365587.0,*Attacker*,*Pascal*,Sadmind_Amslverify_Overflow,60578,32773,
67432,1005365593.0,*Attacker*,*Pascal*,Sadmind_Amslverify_Overflow,60605,32773,
67437,1005365593.0,*Attacker*,*Pascal*,Admind,60605,32773,
67433,1005365595.0,*Attacker*,*Pascal*,Admind,60619,32773,
67434,1005365595.0,*Attacker*,*Pascal*,Sadmind_Amslverify_Overflow,60619,32773,

67488,1005366089.0,197.182.091.233,*Mill*,TelnetTerminaltype,47288,23, NOTHING TO DO (from outside)

67529,1005366464.0,194.027.251.021,*Pascal*,Email_Almail_Overflow,47476,25,NOTHING TO DO (from outside)

67534,1005366464.0,194.027.251.021,*Pascal*,Email_Ehlo,47476,25,NOTHING TO DO (from outside)

67549,1005366498.0,*Mill*,*Attacker*,Rsh,1023,514,
67550,1005366498.0,*Mill*,*Attacker*,Rsh,1022,514,

67546,1005366500.0,*Mill*,*Attacker*,Rsh,1022,514,
67547,1005366500.0,*Mill*,*Attacker*,Rsh,1022,514,

67543,1005366501.0,*Mill*,*Attacker*,Rsh,1021,514,

67545,1005366502.0,*Mill*,*Attacker*,Rsh,1021,514,

67540,1005366503.0,*Attacker*,*Mill*,Rsh,1023,514,

67537,1005366517.0,*Mill*,255.255.255.255,Mstream_Zombie,33786,9325,

67538,1005366517.0,*Locke*,*Attacker*,Rsh,1023,514,
67542,1005366517.0,*Attacker*,*Mill*,Rsh,1023,514,
67535,1005366518.0,*Locke*,*Attacker*,Rsh,1022,514,
67539,1005366518.0,*Locke*,*Attacker*,Rsh,1022,514,
67536,1005366519.0,*Locke*,*Attacker*,Rsh,1022,514,

67558,1005366534.0,*Pascal*,*Attacker*,Rsh,1023,514,
67562,1005366534.0,*Attacker*,*Locke*,Rsh,1023,514,
67563,1005366534.0,*Locke*,255.255.255.255,Mstream_Zombie,32826,9325,
