0,1547907634,WS,http,87.180.117.14,74.125.103.23,GET,3,,,,,0
1,1547907637,MS,smtp,68.180.135.19,74.125.103.25,MAIL_FROM,7,,,,,0
2,1547907637,FW,smtp,209.131.153.27,74.125.103.24,DROP,5,,,,,0
3,1547907638,FW,http,68.248.92.246,74.125.105.30,ACCEPT,2,,,,,0
4,1547907638,MS,smtp,87.39.187.254,74.125.103.24,QUIT,5,,,,,0
5,1547907639,WS,http,87.180.178.206,74.125.103.23,GET,4,,,,,0
6,1547907640,FW,http,216.248.50.25,74.125.103.22,ACCEPT,4,,,,,0
7,1547907640,FW,smtp,216.180.27.181,74.125.103.25,ACCEPT,9,,,,,0
8,1547907640,MS,smtp,87.248.36.15,74.125.103.24,HELO,8,,,,,0
9,1547907641,FW,http,68.180.39.136,74.125.103.22,DROP,9,,,,,1
10,1547907641,FW,ftp,87.39.16.163,74.125.105.31,DROP,4,,,,,0
11,1547907642,FW,smtp,209.147.67.173,74.125.103.24,ACCEPT,3,,,,,0
12,1547907643,FW,ftp,216.248.224.56,74.125.103.22,ACCEPT,3,,,,,0
13,1547907643,FW,http,68.180.39.136,74.125.105.31,DROP,2,,,,,1
14,1547907645,FW,ftp,68.180.39.136,74.125.103.22,ACCEPT,2,,,,,1
15,1547907645,FW,http,216.248.221.108,74.125.103.22,ACCEPT,6,,,,,0
16,1547907645,WS,http,68.39.99.16,74.125.105.30,HEAD,9,,,,,0
17,1547907645,FW,smtp,209.248.205.64,74.125.103.25,DROP,9,,,,,0
18,1547907646,WS,http,209.39.145.128,74.125.103.21,CONNECT,3,,,,,0
19,1547907646,WS,http,216.180.228.143,74.125.105.31,PUT,8,,,,,0
20,1547907647,WS,http,69.180.146.109,74.125.103.21,POST,1,,,,,0
21,1547907648,MS,smtp,87.248.60.63,74.125.103.25,EHLO,1,,,,,0
22,1547907649,WS,http,209.147.73.45,74.125.103.23,POST,4,,,,,0
23,1547907649,WS,http,68.147.140.91,74.125.103.20,CONNECT,2,,,,,0
24,1547907651,FW,ftp,68.39.177.175,74.125.103.23,DROP,10,,,,,0
